Video,Response
Pair_60,left
Pair_6,right
Pair_61,left
Pair_3,left
Pair_13,left
Pair_56,right
Pair_4,right
Pair_31,right
Pair_23,left
Pair_2,right
Pair_34,left
Pair_32,left
Pair_35,right
Pair_8,left
Pair_7,right
Pair_22,right
Pair_43,right
Pair_16,right
Pair_49,right
Pair_47,left
Pair_19,right
Pair_59,left
Pair_14,left
Pair_62,right
Pair_28,left
Pair_20,left
Pair_21,left
Pair_63,left
Pair_51,right
Pair_18,left
Pair_11,right
Pair_38,left
Pair_33,right
Pair_42,right
Pair_39,right
Pair_9,right
Pair_46,left
Pair_27,left
Pair_52,left
Pair_44,right
Pair_15,right
Pair_29,right
Pair_57,left
Pair_55,right
Pair_41,right
Pair_64,right
Pair_36,left
Pair_40,left
Pair_1,right
Pair_5,left
Pair_12,left
Pair_25,right
Pair_37,left
Pair_26,left
Pair_66,left
Pair_10,right
Pair_17,right
Pair_65,left
Pair_30,left
Pair_58,right
Pair_24,right
Pair_53,left
Pair_48,left
Pair_45,right
Pair_54,right
Pair_50,right
