Video,Response
Pair_23,right
Pair_18,left
Pair_51,left
Pair_54,left
Pair_66,left
Pair_56,right
Pair_12,right
Pair_21,right
Pair_15,left
Pair_25,left
Pair_57,left
Pair_1,left
Pair_43,left
Pair_42,right
Pair_63,left
Pair_62,left
Pair_26,right
Pair_58,left
Pair_47,left
Pair_53,right
Pair_2,left
Pair_30,right
Pair_38,left
Pair_50,left
Pair_7,left
Pair_64,right
Pair_37,left
Pair_5,right
Pair_48,left
Pair_17,left
Pair_16,right
Pair_34,left
Pair_32,left
Pair_60,left
Pair_11,left
Pair_31,right
Pair_33,left
Pair_24,right
Pair_4,left
Pair_6,left
Pair_65,right
Pair_3,left
Pair_36,right
Pair_9,right
Pair_44,left
Pair_29,left
Pair_39,left
Pair_27,right
Pair_8,right
Pair_49,left
Pair_19,left
Pair_45,right
Pair_46,left
Pair_13,left
Pair_22,left
Pair_61,left
Pair_59,right
Pair_20,left
Pair_55,left
Pair_14,left
Pair_41,right
Pair_10,left
Pair_40,right
Pair_52,left
Pair_35,left
Pair_28,left
