Video,Response
Pair_9,left
Pair_24,right
Pair_53,left
Pair_40,left
Pair_51,left
Pair_57,left
Pair_63,left
Pair_27,right
Pair_44,right
Pair_26,left
Pair_37,left
Pair_36,left
Pair_4,right
Pair_32,right
Pair_28,right
Pair_45,left
Pair_39,left
Pair_12,left
Pair_66,right
Pair_23,left
Pair_58,left
Pair_21,left
Pair_54,left
Pair_10,left
Pair_61,right
Pair_15,left
Pair_50,left
Pair_6,left
Pair_62,right
Pair_8,left
Pair_29,right
Pair_31,left
Pair_1,right
Pair_43,right
Pair_65,left
Pair_59,left
Pair_22,left
Pair_14,left
Pair_34,right
Pair_33,right
Pair_52,right
Pair_3,left
Pair_30,left
Pair_35,right
Pair_7,left
Pair_46,left
Pair_64,left
Pair_49,left
Pair_19,right
Pair_56,right
Pair_47,left
Pair_60,right
Pair_18,left
Pair_38,left
Pair_20,left
Pair_42,right
Pair_2,right
Pair_17,right
Pair_41,right
Pair_13,left
Pair_25,right
Pair_48,right
Pair_16,left
Pair_5,left
Pair_55,left
Pair_11,left
