Video,Response
Pair_60,left
Pair_18,right
Pair_56,right
Pair_35,left
Pair_12,left
Pair_8,left
Pair_6,right
Pair_48,right
Pair_1,right
Pair_62,right
Pair_17,right
Pair_54,left
Pair_43,right
Pair_14,left
Pair_24,left
Pair_33,right
Pair_26,right
Pair_55,left
Pair_31,left
Pair_45,right
Pair_66,left
Pair_47,right
Pair_61,left
Pair_59,right
Pair_7,left
Pair_40,left
Pair_28,right
Pair_10,left
Pair_32,left
Pair_30,right
Pair_29,right
Pair_15,right
Pair_22,left
Pair_21,left
Pair_25,left
Pair_13,left
Pair_63,left
Pair_2,right
Pair_53,right
Pair_41,left
Pair_57,right
Pair_19,left
Pair_3,right
Pair_65,right
Pair_44,left
Pair_5,left
Pair_9,left
Pair_42,right
Pair_50,left
Pair_64,left
Pair_11,right
Pair_27,left
Pair_39,right
Pair_38,left
Pair_46,left
Pair_16,left
Pair_34,left
Pair_51,left
Pair_37,right
Pair_36,left
Pair_23,left
Pair_58,right
Pair_49,right
Pair_52,left
Pair_20,right
Pair_4,left
