Video,Response
Pair_61,right
Pair_5,left
Pair_52,right
Pair_41,right
Pair_48,left
Pair_4,left
Pair_24,right
Pair_27,right
Pair_55,left
Pair_38,left
Pair_37,right
Pair_50,left
Pair_7,right
Pair_42,left
Pair_43,left
Pair_59,left
Pair_62,right
Pair_20,right
Pair_40,left
Pair_36,left
Pair_29,left
Pair_64,left
Pair_58,left
Pair_22,right
Pair_54,right
Pair_6,left
Pair_8,left
Pair_63,left
Pair_13,right
Pair_39,right
Pair_17,left
Pair_51,right
Pair_14,left
Pair_65,right
Pair_47,right
Pair_15,left
Pair_44,right
Pair_31,left
Pair_21,right
Pair_57,left
Pair_60,right
Pair_32,left
Pair_10,left
Pair_11,right
Pair_28,right
Pair_34,right
Pair_66,left
Pair_56,right
Pair_49,left
Pair_18,left
Pair_26,right
Pair_35,right
Pair_23,right
Pair_30,right
Pair_9,left
Pair_25,left
Pair_1,right
Pair_33,right
Pair_19,left
Pair_16,left
Pair_3,right
Pair_45,left
Pair_53,left
Pair_12,right
Pair_2,left
Pair_46,right
