Video,Response
Pair_25,right
Pair_10,right
Pair_63,right
Pair_64,left
Pair_36,left
Pair_59,right
Pair_1,right
Pair_62,left
Pair_43,left
Pair_38,left
Pair_42,right
Pair_26,left
Pair_16,right
Pair_39,right
Pair_24,right
Pair_54,left
Pair_13,right
Pair_46,right
Pair_21,right
Pair_34,right
Pair_44,left
Pair_12,left
Pair_20,left
Pair_51,right
Pair_2,right
Pair_4,left
Pair_66,left
Pair_55,right
Pair_53,right
Pair_9,left
Pair_8,right
Pair_37,right
Pair_27,left
Pair_29,right
Pair_5,left
Pair_3,right
Pair_32,right
Pair_40,left
Pair_6,right
Pair_45,right
Pair_30,left
Pair_57,left
Pair_65,right
Pair_33,right
Pair_61,right
Pair_7,left
Pair_56,right
Pair_58,left
Pair_31,right
Pair_48,left
Pair_15,left
Pair_50,right
Pair_60,right
Pair_18,left
Pair_22,right
Pair_47,right
Pair_14,right
Pair_19,right
Pair_41,right
Pair_11,left
Pair_28,right
Pair_17,right
Pair_52,right
Pair_49,right
Pair_35,left
Pair_23,right
