Video,Response
Pair_6,left
Pair_24,right
Pair_45,right
Pair_54,left
Pair_25,right
Pair_31,left
Pair_38,left
Pair_14,right
Pair_39,right
Pair_18,right
Pair_12,right
Pair_56,right
Pair_47,right
Pair_13,left
Pair_40,right
Pair_32,right
Pair_34,left
Pair_66,left
Pair_7,right
Pair_51,left
Pair_27,left
Pair_1,right
Pair_59,right
Pair_46,left
Pair_2,right
Pair_50,left
Pair_22,left
Pair_36,left
Pair_65,right
Pair_21,right
Pair_17,left
Pair_30,right
Pair_52,left
Pair_57,right
Pair_10,right
Pair_42,left
Pair_15,right
Pair_4,right
Pair_26,left
Pair_53,left
Pair_44,left
Pair_35,right
Pair_43,left
Pair_49,right
Pair_5,right
Pair_8,left
Pair_58,right
Pair_48,right
Pair_64,right
Pair_33,right
Pair_62,left
Pair_28,right
Pair_3,right
Pair_63,right
Pair_16,right
Pair_23,right
Pair_37,right
Pair_55,left
Pair_19,right
Pair_11,right
Pair_61,left
Pair_60,left
Pair_29,left
Pair_9,right
Pair_20,right
Pair_41,left
