Video,Response
Pair_63,left
Pair_8,right
Pair_20,right
Pair_38,left
Pair_43,left
Pair_61,right
Pair_4,left
Pair_49,right
Pair_29,right
Pair_32,right
Pair_1,left
Pair_6,left
Pair_19,right
Pair_27,right
Pair_60,right
Pair_46,right
Pair_54,right
Pair_56,left
Pair_42,right
Pair_18,right
Pair_25,right
Pair_62,left
Pair_55,left
Pair_9,left
Pair_58,right
Pair_33,left
Pair_2,left
Pair_35,left
Pair_48,right
Pair_14,left
Pair_26,right
Pair_17,right
Pair_3,left
Pair_40,right
Pair_11,right
Pair_50,left
Pair_7,left
Pair_57,left
Pair_34,left
Pair_15,left
Pair_52,left
Pair_30,right
Pair_39,right
Pair_13,right
Pair_66,left
Pair_51,right
Pair_28,left
Pair_24,right
Pair_53,left
Pair_36,left
Pair_64,left
Pair_47,left
Pair_59,left
Pair_45,right
Pair_41,left
Pair_12,right
Pair_31,right
Pair_10,right
Pair_16,right
Pair_5,left
Pair_44,left
Pair_37,left
Pair_22,left
Pair_65,right
Pair_23,right
Pair_21,right
