Video,Response
Pair_22,right
Pair_63,left
Pair_47,right
Pair_21,left
Pair_4,right
Pair_5,left
Pair_46,right
Pair_48,left
Pair_35,left
Pair_34,left
Pair_61,right
Pair_62,left
Pair_32,right
Pair_45,left
Pair_8,right
Pair_40,right
Pair_7,left
Pair_60,left
Pair_23,left
Pair_31,right
Pair_19,right
Pair_57,left
Pair_49,left
Pair_56,left
Pair_59,right
Pair_30,right
Pair_10,right
Pair_24,left
Pair_2,right
Pair_33,right
Pair_37,right
Pair_28,left
Pair_26,left
Pair_17,right
Pair_55,left
Pair_66,left
Pair_16,left
Pair_43,right
Pair_42,left
Pair_11,right
Pair_15,left
Pair_3,right
Pair_12,left
Pair_36,left
Pair_38,right
Pair_6,right
Pair_44,left
Pair_29,right
Pair_64,right
Pair_1,left
Pair_9,right
Pair_52,left
Pair_14,right
Pair_58,left
Pair_50,right
Pair_54,left
Pair_13,right
Pair_20,left
Pair_39,right
Pair_27,right
Pair_65,left
Pair_41,left
Pair_25,right
Pair_18,left
Pair_53,right
Pair_51,left
