Video,Response
Pair_29,right
Pair_23,left
Pair_30,right
Pair_22,left
Pair_42,left
Pair_54,right
Pair_24,left
Pair_25,left
Pair_39,right
Pair_5,left
Pair_4,left
Pair_32,right
Pair_28,left
Pair_45,left
Pair_33,right
Pair_61,left
Pair_58,left
Pair_12,left
Pair_46,right
Pair_48,left
Pair_36,right
Pair_3,left
Pair_56,left
Pair_65,left
Pair_64,right
Pair_11,left
Pair_44,left
Pair_13,left
Pair_63,left
Pair_55,right
Pair_40,left
Pair_20,right
Pair_53,left
Pair_10,right
Pair_41,left
Pair_35,right
Pair_50,left
Pair_1,right
Pair_8,left
Pair_60,left
Pair_15,left
Pair_49,right
Pair_34,left
Pair_17,right
Pair_59,right
Pair_51,right
Pair_21,right
Pair_26,right
Pair_43,right
Pair_14,right
Pair_6,right
Pair_52,left
Pair_38,right
Pair_57,right
Pair_31,left
Pair_7,right
Pair_27,right
Pair_66,right
Pair_2,right
Pair_37,left
Pair_18,left
Pair_19,left
Pair_16,left
Pair_9,left
Pair_47,right
Pair_62,left
