Video,Response
Pair_56,right
Pair_28,left
Pair_38,left
Pair_53,right
Pair_24,right
Pair_4,right
Pair_45,right
Pair_54,left
Pair_27,right
Pair_20,left
Pair_39,left
Pair_7,right
Pair_26,left
Pair_58,right
Pair_19,right
Pair_35,left
Pair_57,left
Pair_33,left
Pair_61,left
Pair_22,left
Pair_36,left
Pair_13,left
Pair_15,right
Pair_1,left
Pair_63,right
Pair_23,left
Pair_18,right
Pair_62,right
Pair_29,left
Pair_30,left
Pair_34,right
Pair_6,left
Pair_40,right
Pair_55,right
Pair_10,right
Pair_66,left
Pair_65,left
Pair_16,right
Pair_12,right
Pair_44,right
Pair_50,right
Pair_47,right
Pair_25,right
Pair_5,right
Pair_48,left
Pair_9,right
Pair_3,right
Pair_32,right
Pair_17,left
Pair_51,right
Pair_2,left
Pair_21,right
Pair_64,left
Pair_42,left
Pair_37,left
Pair_49,left
Pair_60,left
Pair_11,right
Pair_41,right
Pair_52,right
Pair_31,right
Pair_43,left
Pair_46,left
Pair_59,left
Pair_14,right
Pair_8,left
