Video,Response
Pair_7,left
Pair_62,left
Pair_54,right
Pair_20,right
Pair_61,right
Pair_65,left
Pair_35,left
Pair_59,right
Pair_47,left
Pair_5,left
Pair_58,left
Pair_34,right
Pair_18,right
Pair_64,left
Pair_28,left
Pair_29,left
Pair_2,left
Pair_52,right
Pair_57,left
Pair_55,right
Pair_16,right
Pair_45,left
Pair_25,left
Pair_37,right
Pair_14,left
Pair_4,right
Pair_46,left
Pair_27,right
Pair_23,left
Pair_33,right
Pair_40,left
Pair_41,left
Pair_49,right
Pair_50,right
Pair_48,right
Pair_66,left
Pair_51,right
Pair_12,right
Pair_19,right
Pair_8,right
Pair_32,right
Pair_11,left
Pair_38,left
Pair_30,left
Pair_42,left
Pair_13,left
Pair_39,right
Pair_15,left
Pair_60,left
Pair_1,left
Pair_63,left
Pair_10,right
Pair_53,right
Pair_31,left
Pair_24,left
Pair_56,left
Pair_3,left
Pair_22,right
Pair_44,right
Pair_21,right
Pair_9,right
Pair_17,right
Pair_43,right
Pair_36,right
Pair_6,left
Pair_26,left
