Video,Response
Pair_16,left
Pair_31,left
Pair_54,left
Pair_47,left
Pair_13,right
Pair_32,right
Pair_35,left
Pair_65,right
Pair_29,left
Pair_22,right
Pair_40,left
Pair_17,right
Pair_7,right
Pair_25,left
Pair_55,right
Pair_4,left
Pair_61,right
Pair_62,left
Pair_59,right
Pair_44,right
Pair_45,right
Pair_60,right
Pair_6,left
Pair_58,left
Pair_53,right
Pair_28,left
Pair_27,left
Pair_26,left
Pair_23,left
Pair_42,right
Pair_10,left
Pair_48,left
Pair_19,right
Pair_2,left
Pair_37,right
Pair_49,right
Pair_43,right
Pair_50,right
Pair_46,right
Pair_66,left
Pair_9,right
Pair_24,right
Pair_14,left
Pair_51,right
Pair_38,right
Pair_20,left
Pair_3,right
Pair_39,right
Pair_15,right
Pair_34,left
Pair_57,right
Pair_18,left
Pair_8,left
Pair_12,right
Pair_33,right
Pair_1,right
Pair_64,left
Pair_63,left
Pair_56,right
Pair_11,left
Pair_41,left
Pair_5,left
Pair_21,left
Pair_30,right
Pair_36,left
Pair_52,left
