Video,Response
Pair_52,right
Pair_56,left
Pair_20,right
Pair_22,right
Pair_33,right
Pair_26,right
Pair_19,right
Pair_7,left
Pair_28,right
Pair_36,right
Pair_37,right
Pair_1,right
Pair_47,left
Pair_48,right
Pair_13,left
Pair_46,left
Pair_2,right
Pair_45,right
Pair_8,left
Pair_57,right
Pair_29,right
Pair_62,right
Pair_3,left
Pair_50,right
Pair_10,right
Pair_59,left
Pair_4,right
Pair_40,right
Pair_58,left
Pair_44,right
Pair_9,left
Pair_64,left
Pair_30,right
Pair_63,left
Pair_65,right
Pair_41,right
Pair_61,right
Pair_51,right
Pair_24,right
Pair_66,right
Pair_53,left
Pair_17,right
Pair_18,right
Pair_60,right
Pair_38,right
Pair_31,left
Pair_6,left
Pair_54,left
Pair_43,right
Pair_5,left
Pair_42,left
Pair_11,right
Pair_12,left
Pair_32,left
Pair_39,left
Pair_35,right
Pair_21,left
Pair_34,right
Pair_25,left
Pair_16,right
Pair_23,left
Pair_14,right
Pair_27,right
Pair_49,right
Pair_55,left
Pair_15,left
