Video,Response
Pair_21,right
Pair_3,right
Pair_5,left
Pair_38,right
Pair_47,left
Pair_44,left
Pair_55,right
Pair_27,right
Pair_64,left
Pair_15,right
Pair_62,right
Pair_60,left
Pair_37,right
Pair_1,left
Pair_53,right
Pair_65,right
Pair_8,right
Pair_9,right
Pair_42,left
Pair_41,right
Pair_36,left
Pair_50,left
Pair_30,left
Pair_51,left
Pair_16,left
Pair_56,right
Pair_4,right
Pair_58,right
Pair_52,right
Pair_17,left
Pair_34,right
Pair_46,right
Pair_63,left
Pair_31,right
Pair_45,right
Pair_10,left
Pair_40,right
Pair_11,left
Pair_54,left
Pair_35,right
Pair_14,right
Pair_12,right
Pair_43,left
Pair_25,right
Pair_32,left
Pair_20,right
Pair_6,left
Pair_29,left
Pair_28,right
Pair_7,left
Pair_23,left
Pair_48,right
Pair_18,right
Pair_66,left
Pair_22,left
Pair_59,right
Pair_57,left
Pair_49,left
Pair_61,right
Pair_2,right
Pair_24,left
Pair_19,left
Pair_13,right
Pair_26,right
Pair_39,left
Pair_33,left
