Video,Response
Pair_53,left
Pair_44,right
Pair_50,left
Pair_2,right
Pair_54,right
Pair_40,left
Pair_30,right
Pair_12,left
Pair_33,right
Pair_46,right
Pair_49,right
Pair_58,left
Pair_55,right
Pair_21,right
Pair_62,left
Pair_45,right
Pair_18,left
Pair_4,left
Pair_34,left
Pair_32,right
Pair_66,left
Pair_63,right
Pair_25,right
Pair_57,right
Pair_42,right
Pair_11,left
Pair_51,left
Pair_41,left
Pair_39,right
Pair_6,right
Pair_27,left
Pair_23,left
Pair_16,left
Pair_28,left
Pair_22,right
Pair_5,left
Pair_9,left
Pair_24,right
Pair_31,right
Pair_56,left
Pair_64,left
Pair_19,right
Pair_17,right
Pair_26,right
Pair_60,right
Pair_1,left
Pair_20,right
Pair_7,right
Pair_47,right
Pair_8,right
Pair_52,right
Pair_37,right
Pair_48,left
Pair_61,left
Pair_29,left
Pair_35,right
Pair_36,left
Pair_13,right
Pair_59,right
Pair_3,right
Pair_10,left
Pair_38,right
Pair_15,right
Pair_14,left
Pair_65,left
Pair_43,left
