Video,Response
Pair_54,left
Pair_48,left
Pair_38,right
Pair_27,right
Pair_5,left
Pair_49,left
Pair_60,right
Pair_35,left
Pair_64,right
Pair_2,right
Pair_7,left
Pair_58,right
Pair_61,left
Pair_6,left
Pair_29,right
Pair_3,right
Pair_63,left
Pair_4,left
Pair_34,left
Pair_62,right
Pair_30,right
Pair_25,left
Pair_24,left
Pair_47,left
Pair_46,right
Pair_56,left
Pair_53,right
Pair_39,left
Pair_13,left
Pair_44,right
Pair_15,left
Pair_32,left
Pair_28,right
Pair_65,right
Pair_41,left
Pair_45,left
Pair_8,left
Pair_36,right
Pair_10,right
Pair_52,left
Pair_50,right
Pair_16,right
Pair_19,left
Pair_37,left
Pair_26,right
Pair_40,right
Pair_42,left
Pair_31,left
Pair_66,left
Pair_43,left
Pair_17,right
Pair_22,left
Pair_21,right
Pair_51,right
Pair_18,left
Pair_14,left
Pair_57,right
Pair_12,left
Pair_23,left
Pair_1,right
Pair_59,left
Pair_11,right
Pair_9,right
Pair_20,left
Pair_33,right
Pair_55,right
