Video,Response
Pair_34,right
Pair_27,right
Pair_8,right
Pair_7,right
Pair_24,right
Pair_61,left
Pair_3,left
Pair_33,right
Pair_36,right
Pair_14,left
Pair_37,left
Pair_38,left
Pair_56,right
Pair_65,right
Pair_44,right
Pair_66,left
Pair_26,right
Pair_41,left
Pair_63,right
Pair_20,right
Pair_39,right
Pair_64,left
Pair_5,right
Pair_54,right
Pair_21,left
Pair_45,right
Pair_16,left
Pair_35,right
Pair_51,left
Pair_4,right
Pair_12,left
Pair_29,right
Pair_32,right
Pair_9,left
Pair_6,right
Pair_40,left
Pair_59,left
Pair_13,right
Pair_23,left
Pair_19,left
Pair_42,right
Pair_10,right
Pair_15,right
Pair_60,left
Pair_62,right
Pair_47,left
Pair_58,left
Pair_50,left
Pair_55,right
Pair_11,right
Pair_1,right
Pair_25,right
Pair_48,left
Pair_30,right
Pair_22,right
Pair_2,left
Pair_31,right
Pair_28,right
Pair_49,left
Pair_46,left
Pair_53,right
Pair_52,left
Pair_57,right
Pair_18,left
Pair_43,left
Pair_17,right
