Video,Response
Pair_65,left
Pair_37,right
Pair_53,right
Pair_22,left
Pair_13,left
Pair_63,right
Pair_18,left
Pair_9,left
Pair_6,right
Pair_31,right
Pair_58,right
Pair_41,left
Pair_16,left
Pair_28,right
Pair_46,right
Pair_60,left
Pair_57,right
Pair_8,left
Pair_7,left
Pair_5,right
Pair_4,left
Pair_48,right
Pair_33,left
Pair_1,left
Pair_45,right
Pair_55,left
Pair_23,right
Pair_56,right
Pair_30,right
Pair_32,left
Pair_49,right
Pair_14,left
Pair_42,right
Pair_20,left
Pair_29,right
Pair_59,right
Pair_52,left
Pair_25,right
Pair_24,left
Pair_2,right
Pair_27,right
Pair_54,right
Pair_35,left
Pair_66,right
Pair_17,left
Pair_61,right
Pair_26,left
Pair_15,right
Pair_12,right
Pair_36,right
Pair_47,left
Pair_10,left
Pair_3,right
Pair_39,left
Pair_40,right
Pair_44,right
Pair_19,right
Pair_64,right
Pair_38,left
Pair_43,left
Pair_11,right
Pair_50,right
Pair_34,left
Pair_21,left
Pair_62,right
Pair_51,left
