Video,Response
Pair_37,right
Pair_45,left
Pair_10,right
Pair_13,right
Pair_29,right
Pair_48,right
Pair_5,right
Pair_62,right
Pair_15,left
Pair_40,right
Pair_3,right
Pair_65,left
Pair_52,right
Pair_33,right
Pair_60,right
Pair_51,right
Pair_53,left
Pair_47,left
Pair_38,right
Pair_26,left
Pair_50,left
Pair_46,right
Pair_18,right
Pair_8,right
Pair_31,left
Pair_55,right
Pair_24,left
Pair_1,right
Pair_34,right
Pair_9,right
Pair_4,left
Pair_64,left
Pair_30,right
Pair_2,left
Pair_39,right
Pair_32,right
Pair_41,right
Pair_44,left
Pair_54,right
Pair_17,right
Pair_58,left
Pair_27,left
Pair_12,left
Pair_20,right
Pair_63,right
Pair_16,right
Pair_57,left
Pair_14,left
Pair_6,left
Pair_19,left
Pair_42,left
Pair_22,right
Pair_28,right
Pair_59,right
Pair_43,right
Pair_23,right
Pair_21,left
Pair_61,right
Pair_35,right
Pair_49,right
Pair_66,right
Pair_11,left
Pair_36,right
Pair_25,right
Pair_7,left
Pair_56,left
