Video,Response
Pair_19,left
Pair_9,right
Pair_21,left
Pair_51,left
Pair_25,right
Pair_54,right
Pair_42,left
Pair_61,right
Pair_53,right
Pair_20,right
Pair_6,right
Pair_45,left
Pair_48,left
Pair_57,left
Pair_2,left
Pair_1,right
Pair_35,left
Pair_39,right
Pair_38,right
Pair_37,right
Pair_55,left
Pair_3,right
Pair_58,right
Pair_31,left
Pair_40,left
Pair_30,right
Pair_63,right
Pair_44,left
Pair_14,right
Pair_66,left
Pair_15,left
Pair_50,right
Pair_32,left
Pair_59,right
Pair_13,right
Pair_65,right
Pair_41,right
Pair_16,right
Pair_29,left
Pair_33,left
Pair_62,right
Pair_46,right
Pair_4,left
Pair_10,right
Pair_12,left
Pair_24,left
Pair_23,right
Pair_36,left
Pair_27,right
Pair_18,left
Pair_26,left
Pair_47,right
Pair_43,right
Pair_49,left
Pair_60,left
Pair_11,left
Pair_17,right
Pair_64,left
Pair_56,left
Pair_52,left
Pair_22,left
Pair_5,right
Pair_7,right
Pair_8,left
Pair_34,left
Pair_28,left
