Video,Response
Pair_7,left
Pair_26,left
Pair_59,left
Pair_37,left
Pair_47,right
Pair_49,right
Pair_12,left
Pair_4,left
Pair_11,left
Pair_57,right
Pair_3,right
Pair_56,right
Pair_54,right
Pair_38,right
Pair_28,left
Pair_10,left
Pair_22,right
Pair_18,left
Pair_48,left
Pair_24,left
Pair_2,left
Pair_9,right
Pair_29,left
Pair_35,right
Pair_66,right
Pair_43,left
Pair_36,left
Pair_33,right
Pair_64,right
Pair_61,right
Pair_25,left
Pair_65,left
Pair_14,left
Pair_32,left
Pair_58,left
Pair_31,right
Pair_34,left
Pair_23,right
Pair_51,left
Pair_30,left
Pair_46,left
Pair_5,right
Pair_16,right
Pair_1,left
Pair_55,right
Pair_15,left
Pair_27,right
Pair_8,left
Pair_45,right
Pair_42,right
Pair_13,right
Pair_19,left
Pair_40,right
Pair_52,left
Pair_50,left
Pair_62,right
Pair_63,left
Pair_39,left
Pair_53,right
Pair_17,right
Pair_20,left
Pair_6,right
Pair_44,left
Pair_60,right
Pair_21,left
Pair_41,left
