Video,Response
Pair_17,left
Pair_53,right
Pair_2,left
Pair_44,right
Pair_37,left
Pair_24,left
Pair_63,left
Pair_7,right
Pair_54,left
Pair_45,right
Pair_29,right
Pair_4,right
Pair_39,right
Pair_65,right
Pair_38,left
Pair_56,left
Pair_41,left
Pair_16,left
Pair_15,right
Pair_40,right
Pair_12,left
Pair_19,left
Pair_31,right
Pair_20,right
Pair_47,right
Pair_61,right
Pair_50,left
Pair_10,left
Pair_62,right
Pair_18,right
Pair_51,right
Pair_36,left
Pair_55,left
Pair_66,right
Pair_33,right
Pair_11,left
Pair_1,right
Pair_26,right
Pair_22,left
Pair_64,left
Pair_35,right
Pair_5,right
Pair_49,left
Pair_32,left
Pair_21,right
Pair_48,right
Pair_52,left
Pair_14,right
Pair_42,left
Pair_34,left
Pair_43,right
Pair_25,left
Pair_58,right
Pair_30,left
Pair_46,left
Pair_3,left
Pair_28,right
Pair_60,right
Pair_27,left
Pair_23,right
Pair_57,right
Pair_9,left
Pair_13,right
Pair_8,right
Pair_6,right
Pair_59,left
