Video,Response
Pair_65,right
Pair_18,right
Pair_1,left
Pair_52,right
Pair_17,left
Pair_34,left
Pair_43,right
Pair_20,left
Pair_42,right
Pair_64,right
Pair_24,left
Pair_5,left
Pair_30,right
Pair_11,right
Pair_56,left
Pair_62,right
Pair_35,right
Pair_41,right
Pair_15,left
Pair_4,left
Pair_57,right
Pair_29,left
Pair_3,right
Pair_28,left
Pair_12,left
Pair_39,left
Pair_38,left
Pair_9,right
Pair_21,left
Pair_14,left
Pair_2,left
Pair_44,right
Pair_55,left
Pair_51,right
Pair_53,right
Pair_50,right
Pair_23,right
Pair_60,right
Pair_61,left
Pair_7,left
Pair_54,right
Pair_31,left
Pair_26,left
Pair_13,right
Pair_22,left
Pair_58,left
Pair_33,left
Pair_47,left
Pair_16,right
Pair_46,left
Pair_36,left
Pair_27,right
Pair_10,right
Pair_49,right
Pair_48,right
Pair_63,right
Pair_66,left
Pair_19,left
Pair_59,left
Pair_6,right
Pair_40,left
Pair_8,right
Pair_25,left
Pair_45,right
Pair_32,left
Pair_37,left
