Video,Response
Pair_12,left
Pair_65,left
Pair_27,left
Pair_57,right
Pair_20,left
Pair_59,right
Pair_56,right
Pair_62,right
Pair_52,left
Pair_47,right
Pair_9,left
Pair_38,right
Pair_22,right
Pair_54,left
Pair_60,left
Pair_18,left
Pair_30,right
Pair_7,right
Pair_24,left
Pair_13,left
Pair_35,left
Pair_64,right
Pair_39,right
Pair_37,left
Pair_16,right
Pair_44,right
Pair_49,right
Pair_34,left
Pair_48,right
Pair_6,right
Pair_41,left
Pair_50,right
Pair_51,left
Pair_32,right
Pair_19,right
Pair_43,left
Pair_1,left
Pair_3,right
Pair_17,left
Pair_40,left
Pair_46,left
Pair_45,left
Pair_26,right
Pair_31,left
Pair_58,left
Pair_2,left
Pair_15,left
Pair_8,right
Pair_25,left
Pair_55,left
Pair_53,right
Pair_61,left
Pair_33,right
Pair_28,left
Pair_11,right
Pair_21,left
Pair_63,left
Pair_66,left
Pair_5,left
Pair_4,left
Pair_29,left
Pair_14,left
Pair_36,right
Pair_42,right
Pair_23,left
Pair_10,left
