Video,Response
Pair_7,left
Pair_39,left
Pair_53,left
Pair_4,right
Pair_6,right
Pair_63,right
Pair_8,right
Pair_54,right
Pair_20,left
Pair_26,left
Pair_55,right
Pair_25,right
Pair_35,left
Pair_29,right
Pair_51,left
Pair_33,left
Pair_14,left
Pair_18,right
Pair_58,right
Pair_45,left
Pair_57,left
Pair_34,right
Pair_43,right
Pair_60,left
Pair_32,right
Pair_65,right
Pair_21,left
Pair_42,right
Pair_52,left
Pair_28,right
Pair_30,right
Pair_17,left
Pair_5,left
Pair_19,right
Pair_23,left
Pair_56,right
Pair_3,left
Pair_9,right
Pair_59,right
Pair_13,left
Pair_22,right
Pair_44,right
Pair_48,left
Pair_40,left
Pair_1,right
Pair_24,left
Pair_31,left
Pair_27,left
Pair_41,left
Pair_50,left
Pair_10,right
Pair_16,right
Pair_37,right
Pair_47,right
Pair_49,left
Pair_61,left
Pair_62,left
Pair_64,left
Pair_12,right
Pair_11,left
Pair_2,left
Pair_15,right
Pair_66,right
Pair_38,right
Pair_46,left
Pair_36,right
