Video,Response
Pair_14,left
Pair_32,left
Pair_51,right
Pair_49,right
Pair_66,left
Pair_22,left
Pair_25,left
Pair_35,left
Pair_26,right
Pair_45,left
Pair_58,left
Pair_6,right
Pair_57,left
Pair_54,right
Pair_39,left
Pair_43,right
Pair_63,left
Pair_34,right
Pair_23,right
Pair_50,left
Pair_55,right
Pair_8,right
Pair_2,right
Pair_27,left
Pair_20,right
Pair_9,right
Pair_33,right
Pair_12,left
Pair_53,right
Pair_31,right
Pair_5,right
Pair_36,right
Pair_4,left
Pair_1,left
Pair_42,right
Pair_48,right
Pair_65,left
Pair_15,left
Pair_59,right
Pair_46,left
Pair_29,right
Pair_37,right
Pair_19,left
Pair_52,right
Pair_16,right
Pair_40,right
Pair_24,left
Pair_61,right
Pair_44,left
Pair_62,right
Pair_41,right
Pair_60,left
Pair_17,right
Pair_28,left
Pair_64,left
Pair_38,right
Pair_11,right
Pair_47,left
Pair_13,left
Pair_30,right
Pair_7,left
Pair_56,right
Pair_10,right
Pair_3,left
Pair_18,left
Pair_21,left
