Video,Response
Pair_47,right
Pair_2,right
Pair_40,right
Pair_34,left
Pair_39,left
Pair_6,right
Pair_66,left
Pair_17,right
Pair_60,left
Pair_65,left
Pair_14,right
Pair_18,right
Pair_4,right
Pair_26,right
Pair_8,left
Pair_63,right
Pair_35,right
Pair_10,right
Pair_28,left
Pair_38,left
Pair_50,right
Pair_45,right
Pair_23,right
Pair_55,left
Pair_59,left
Pair_11,right
Pair_33,right
Pair_48,right
Pair_57,left
Pair_12,right
Pair_5,right
Pair_49,left
Pair_43,right
Pair_42,right
Pair_19,right
Pair_27,right
Pair_58,right
Pair_36,right
Pair_46,left
Pair_1,right
Pair_29,right
Pair_30,right
Pair_32,left
Pair_41,right
Pair_3,right
Pair_54,right
Pair_13,right
Pair_21,left
Pair_62,right
Pair_24,left
Pair_9,left
Pair_15,right
Pair_7,right
Pair_53,right
Pair_52,left
Pair_16,left
Pair_22,right
Pair_56,right
Pair_31,left
Pair_25,right
Pair_44,left
Pair_20,left
Pair_61,left
Pair_37,right
Pair_51,left
Pair_64,left
