Video,Response
Pair_21,right
Pair_41,right
Pair_35,right
Pair_25,left
Pair_14,right
Pair_64,right
Pair_2,right
Pair_39,left
Pair_27,left
Pair_37,right
Pair_65,left
Pair_53,left
Pair_30,right
Pair_61,right
Pair_38,left
Pair_63,left
Pair_51,right
Pair_5,right
Pair_42,right
Pair_44,left
Pair_24,left
Pair_19,right
Pair_60,left
Pair_50,right
Pair_20,left
Pair_34,right
Pair_33,left
Pair_23,right
Pair_32,left
Pair_66,right
Pair_57,right
Pair_49,right
Pair_7,left
Pair_15,left
Pair_54,right
Pair_13,left
Pair_31,left
Pair_1,right
Pair_45,left
Pair_40,left
Pair_6,right
Pair_8,right
Pair_48,left
Pair_28,left
Pair_36,right
Pair_59,left
Pair_47,right
Pair_9,right
Pair_11,left
Pair_26,right
Pair_29,left
Pair_46,left
Pair_22,left
Pair_58,left
Pair_3,left
Pair_10,right
Pair_18,right
Pair_16,right
Pair_62,left
Pair_43,left
Pair_4,right
Pair_12,left
Pair_56,right
Pair_52,left
Pair_17,right
Pair_55,right
