Video,Response
Pair_51,left
Pair_32,left
Pair_38,right
Pair_23,left
Pair_14,left
Pair_19,left
Pair_65,left
Pair_30,left
Pair_17,left
Pair_6,right
Pair_9,left
Pair_58,right
Pair_54,right
Pair_47,right
Pair_37,left
Pair_25,left
Pair_5,right
Pair_40,left
Pair_45,right
Pair_41,right
Pair_22,left
Pair_29,right
Pair_10,left
Pair_4,left
Pair_66,right
Pair_21,right
Pair_48,right
Pair_24,right
Pair_13,right
Pair_62,left
Pair_3,right
Pair_55,right
Pair_8,right
Pair_16,left
Pair_44,left
Pair_33,left
Pair_12,right
Pair_15,right
Pair_31,right
Pair_43,left
Pair_60,right
Pair_34,right
Pair_36,right
Pair_20,right
Pair_2,right
Pair_50,right
Pair_59,right
Pair_46,right
Pair_53,right
Pair_39,right
Pair_28,left
Pair_49,left
Pair_61,left
Pair_64,right
Pair_35,left
Pair_42,right
Pair_57,left
Pair_63,right
Pair_7,left
Pair_56,left
Pair_27,left
Pair_1,right
Pair_11,left
Pair_52,left
Pair_26,left
Pair_18,right
