Video,Response
Pair_44,right
Pair_52,right
Pair_18,right
Pair_57,left
Pair_48,left
Pair_25,right
Pair_47,left
Pair_10,left
Pair_63,right
Pair_1,left
Pair_58,left
Pair_62,left
Pair_38,left
Pair_4,left
Pair_45,right
Pair_30,right
Pair_5,left
Pair_23,right
Pair_40,left
Pair_36,right
Pair_24,right
Pair_11,right
Pair_65,left
Pair_7,left
Pair_13,left
Pair_55,left
Pair_49,right
Pair_22,left
Pair_35,left
Pair_32,left
Pair_19,left
Pair_46,right
Pair_59,left
Pair_12,left
Pair_16,right
Pair_61,left
Pair_2,right
Pair_17,right
Pair_54,right
Pair_15,left
Pair_27,right
Pair_9,right
Pair_56,left
Pair_41,right
Pair_31,right
Pair_33,right
Pair_21,left
Pair_66,left
Pair_53,right
Pair_64,right
Pair_42,left
Pair_20,right
Pair_6,right
Pair_26,left
Pair_60,left
Pair_39,left
Pair_43,right
Pair_50,left
Pair_3,right
Pair_51,left
Pair_28,right
Pair_34,right
Pair_37,right
Pair_8,right
Pair_29,right
Pair_14,right
