Video,Response
Pair_24,left
Pair_36,right
Pair_19,left
Pair_9,right
Pair_5,left
Pair_25,right
Pair_51,right
Pair_14,left
Pair_18,right
Pair_64,right
Pair_57,right
Pair_53,right
Pair_54,right
Pair_16,left
Pair_44,left
Pair_52,left
Pair_33,left
Pair_59,left
Pair_13,right
Pair_34,right
Pair_1,right
Pair_10,right
Pair_2,left
Pair_47,left
Pair_7,right
Pair_50,left
Pair_15,left
Pair_6,right
Pair_37,right
Pair_41,left
Pair_62,right
Pair_39,right
Pair_26,left
Pair_17,right
Pair_20,left
Pair_31,right
Pair_58,left
Pair_3,right
Pair_32,left
Pair_23,left
Pair_21,left
Pair_63,right
Pair_8,left
Pair_38,right
Pair_12,right
Pair_45,left
Pair_65,right
Pair_4,left
Pair_29,left
Pair_35,right
Pair_56,right
Pair_61,right
Pair_49,left
Pair_22,right
Pair_55,right
Pair_28,left
Pair_46,right
Pair_40,left
Pair_60,left
Pair_43,right
Pair_42,left
Pair_66,left
Pair_11,right
Pair_27,right
Pair_30,left
Pair_48,right
