Video,Response
Pair_15,left
Pair_31,right
Pair_40,left
Pair_54,left
Pair_59,left
Pair_25,left
Pair_30,right
Pair_7,left
Pair_5,left
Pair_4,left
Pair_35,right
Pair_22,right
Pair_20,right
Pair_14,left
Pair_53,right
Pair_11,left
Pair_8,right
Pair_61,left
Pair_10,left
Pair_52,right
Pair_44,left
Pair_33,left
Pair_39,left
Pair_19,left
Pair_36,right
Pair_50,left
Pair_37,left
Pair_51,left
Pair_21,left
Pair_13,right
Pair_66,right
Pair_47,right
Pair_1,left
Pair_64,left
Pair_43,left
Pair_24,left
Pair_26,left
Pair_42,left
Pair_2,right
Pair_12,left
Pair_17,right
Pair_57,left
Pair_60,right
Pair_41,left
Pair_16,left
Pair_45,right
Pair_48,left
Pair_58,right
Pair_56,right
Pair_18,right
Pair_6,left
Pair_34,left
Pair_3,left
Pair_23,right
Pair_46,right
Pair_63,right
Pair_65,right
Pair_28,right
Pair_32,left
Pair_27,right
Pair_9,right
Pair_38,right
Pair_55,left
Pair_62,left
Pair_29,left
Pair_49,right
