Participant_x,Segment_x,Participant_y,Segment_y,Left,Right,HeartBeat,Stimuli_Seconds,Peaks_Idx,Peaks_Seconds,ID
1,30,2,15,1,2,2,"[0.85107422 1.76123047 2.57128906 3.34667969 4.11767578 4.91992188
 5.78564453 6.68505859 7.54736328 8.33691406 9.10693359 9.90576172]",[32463 34327 35986 37574 39153 40796 42569 44411 46177 47794 49371 51007],"[15.85107422 16.76123047 17.57128906 18.34667969 19.11767578 19.91992188
 20.78564453 21.68505859 22.54736328 23.33691406 24.10693359 24.90576172]",Pair_1
1,110,3,60,1,3,3,"[0.87402344 2.07128906 3.23535156 4.36132812 5.50976562 6.69824219
 7.89990234 9.05810547]",[124670 127122 129506 131812 134164 136598 139059 141431],"[60.87402344 62.07128906 63.23535156 64.36132812 65.50976562 66.69824219
 67.89990234 69.05810547]",Pair_2
1,35,4,50,4,1,4,"[0.34814453 1.26025391 2.18212891 3.08935547 3.99951172 4.91552734
 5.83154297 6.73828125 7.65332031 8.56689453 9.45751953]","[103113 104981 106869 108727 110591 112467 114343 116200 118074 119945
 121769]","[50.34814453 51.26025391 52.18212891 53.08935547 53.99951172 54.91552734
 55.83154297 56.73828125 57.65332031 58.56689453 59.45751953]",Pair_3
1,70,5,0,5,1,5,"[0.40771484 1.38476562 2.29394531 3.19189453 4.14257812 5.10595703
 6.02685547 6.91845703 7.87646484 8.87695312 9.85107422]",[  835  2836  4698  6537  8484 10457 12343 14169 16131 18180 20175],"[0.40771484 1.38476562 2.29394531 3.19189453 4.14257812 5.10595703
 6.02685547 6.91845703 7.87646484 8.87695312 9.85107422]",Pair_4
1,90,6,30,6,1,1,"[0.46289062 1.21679688 1.95068359 2.68701172 3.44628906 4.25439453
 5.11816406 6.01953125 6.93554688 7.85205078 8.75878906 9.63574219]","[185268 186812 188315 189823 191378 193033 194802 196648 198524 200401
 202258 204054]","[90.46289062 91.21679688 91.95068359 92.68701172 93.44628906 94.25439453
 95.11816406 96.01953125 96.93554688 97.85205078 98.75878906 99.63574219]",Pair_5
1,0,7,90,7,1,1,"[0.43310547 1.29931641 2.13183594 2.93408203 3.74658203 4.58203125
 5.44726562 6.32763672 7.18212891 8.00195312 8.82421875 9.65527344]",[  887  2661  4366  6009  7673  9384 11156 12959 14709 16388 18072 19774],"[0.43310547 1.29931641 2.13183594 2.93408203 3.74658203 4.58203125
 5.44726562 6.32763672 7.18212891 8.00195312 8.82421875 9.65527344]",Pair_6
1,50,9,50,1,9,9,"[0.25048828 1.0859375  1.84033203 2.54541016 3.20800781 3.90820312
 4.89404297 5.93408203 6.99902344 8.02978516 8.99560547 9.91552734]","[102913 104624 106169 107613 108970 110404 112423 114553 116734 118845
 120823 122707]","[50.25048828 51.0859375  51.84033203 52.54541016 53.20800781 53.90820312
 54.89404297 55.93408203 56.99902344 58.02978516 58.99560547 59.91552734]",Pair_7
1,25,10,20,1,10,1,"[0.05419922 0.87988281 1.68408203 2.47021484 3.26757812 4.07763672
 4.90332031 5.75683594 6.61328125 7.45263672 8.30224609 9.17236328]",[51311 53002 54649 56259 57892 59551 61242 62990 64744 66463 68203 69985],"[25.05419922 25.87988281 26.68408203 27.47021484 28.26757812 29.07763672
 29.90332031 30.75683594 31.61328125 32.45263672 33.30224609 34.17236328]",Pair_8
1,40,11,0,11,1,1,"[0.11865234 0.95458984 1.75976562 2.56542969 3.390625   4.23242188
 5.09912109 5.96044922 6.79296875 7.62158203 8.46044922 9.30322266]","[ 82163  83875  85524  87174  88864  90588  92363  94127  95832  97529
  99247 100973]","[40.11865234 40.95458984 41.75976562 42.56542969 43.390625   44.23242188
 45.09912109 45.96044922 46.79296875 47.62158203 48.46044922 49.30322266]",Pair_9
1,75,12,90,1,12,1,"[0.12109375 0.98339844 1.84667969 2.6875     3.49072266 4.296875
 5.09912109 5.89794922 6.69140625 7.48681641 8.26513672 9.02685547
 9.79638672]","[153848 155614 157382 159104 160749 162400 164043 165679 167304 168933
 170527 172087 173663]","[75.12109375 75.98339844 76.84667969 77.6875     78.49072266 79.296875
 80.09912109 80.89794922 81.69140625 82.48681641 83.26513672 84.02685547
 84.79638672]",Pair_10
1,45,13,75,1,13,13,"[0.0546875  1.07128906 2.08056641 3.01367188 3.99902344 5.02294922
 6.02148438 6.87158203 7.74658203 8.67089844 9.62207031]","[153712 155794 157861 159772 161790 163887 165932 167673 169465 171358
 173306]","[75.0546875  76.07128906 77.08056641 78.01367188 78.99902344 80.02294922
 81.02148438 81.87158203 82.74658203 83.67089844 84.62207031]",Pair_11
2,65,3,10,3,2,3,"[1.13525391 2.40136719 3.78662109 4.86572266 5.80078125 6.76318359
 7.99853516 9.2109375 ]",[22805 25398 28235 30445 32360 34331 36861 39344],"[11.13525391 12.40136719 13.78662109 14.86572266 15.80078125 16.76318359
 17.99853516 19.2109375 ]",Pair_12
2,105,4,0,2,4,2,"[0.54541016 1.41601562 2.33154297 3.25292969 4.17919922 5.09277344
 5.99609375 6.87158203 7.69140625 8.48486328 9.31396484]","[216157 217940 219815 221702 223599 225470 227320 229113 230792 232417
 234115]","[105.54541016 106.41601562 107.33154297 108.25292969 109.17919922
 110.09277344 110.99609375 111.87158203 112.69140625 113.48486328
 114.31396484]",Pair_13
2,70,5,60,5,2,5,"[0.19238281 1.08886719 2.00634766 2.92919922 3.86523438 4.74755859
 5.57714844 6.40771484 7.26269531 8.15087891 9.04199219 9.90576172]","[123274 125110 126989 128879 130796 132603 134302 136003 137754 139573
 141398 143167]","[60.19238281 61.08886719 62.00634766 62.92919922 63.86523438 64.74755859
 65.57714844 66.40771484 67.26269531 68.15087891 69.04199219 69.90576172]",Pair_14
2,25,6,50,2,6,6,"[0.34130859 1.47070312 2.50048828 3.53466797 4.61279297 5.765625
 6.89208984 8.10107422 9.31201172]",[103099 105412 107521 109639 111847 114208 116515 118991 121471],"[50.34130859 51.47070312 52.50048828 53.53466797 54.61279297 55.765625
 56.89208984 58.10107422 59.31201172]",Pair_15
2,5,7,80,2,7,7,"[0.58789062 1.30371094 2.02392578 2.76513672 3.49365234 4.19433594
 4.90771484 5.62402344 6.35546875 7.05322266 7.71826172 8.38574219
 9.05126953 9.72021484]","[165044 166510 167985 169503 170995 172430 173891 175358 176856 178285
 179647 181014 182377 183747]","[80.58789062 81.30371094 82.02392578 82.76513672 83.49365234 84.19433594
 84.90771484 85.62402344 86.35546875 87.05322266 87.71826172 88.38574219
 89.05126953 89.72021484]",Pair_16
2,10,9,20,2,9,9,"[0.72851562 1.71777344 2.68652344 3.60400391 4.48681641 5.37988281
 6.28613281 7.18505859 8.04296875 8.96582031 9.95849609]",[42452 44478 46462 48341 50149 51978 53834 55675 57432 59322 61355],"[20.72851562 21.71777344 22.68652344 23.60400391 24.48681641 25.37988281
 26.28613281 27.18505859 28.04296875 28.96582031 29.95849609]",Pair_17
